,pv
807,3.05625
808,1.2659722222222223
809,0.12222222222222222
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.23145833333333332
824,1.6680555555555556
825,2.8854166666666665
826,3.548611111111111
827,2.884027777777778
828,2.8319444444444444
829,2.20625
830,1.2319444444444445
831,0.8451388888888889
832,0.33631944444444445
833,0.057416666666666664
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.20195833333333332
848,1.6784722222222221
849,2.7694444444444444
850,4.027777777777778
851,3.951388888888889
852,3.020138888888889
853,1.9305555555555556
854,1.3680555555555556
855,0.9944444444444445
856,0.7291666666666666
857,0.12458333333333334
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.10138888888888889
872,0.4395833333333333
873,0.9076388888888889
874,1.9118055555555555
875,5.152777777777778
876,5.777777777777778
877,5.881944444444445
878,4.472222222222222
879,3.533333333333333
880,1.5708333333333333
881,0.20666666666666667
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.05269444444444444
896,0.3564583333333333
897,0.7326388888888888
898,0.9319444444444445
899,1.3722222222222222
900,1.1631944444444444
901,1.1520833333333333
902,1.1354166666666667
903,0.8125
904,0.48819444444444443
905,0.10645833333333334
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.17375
920,0.83125
921,0.8069444444444445
922,2.495833333333333
923,0.9465277777777777
924,0.6930555555555555
925,2.03125
926,2.129166666666667
927,2.0208333333333335
928,0.5506944444444445
929,0.1765972222222222
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.2902777777777778
944,1.3923611111111112
945,3.035416666666667
946,3.9027777777777777
947,3.0652777777777778
948,1.7277777777777779
949,2.2979166666666666
950,2.6368055555555556
951,1.7305555555555556
952,0.9097222222222222
953,0.21618055555555554
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.09997916666666667
968,0.3326388888888889
969,1.2479166666666666
970,3.573611111111111
971,4.923611111111111
972,6.069444444444445
973,4.361111111111111
974,4.854166666666667
975,2.9520833333333334
976,1.4
977,0.17930555555555555
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.14548611111111112
992,0.7506944444444444
993,1.0
994,2.636111111111111
995,4.576388888888889
996,5.694444444444445
997,5.645833333333333
998,4.666666666666667
999,3.2708333333333335
1000,1.4527777777777777
1001,0.16979166666666667
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0900138888888889
1016,0.41833333333333333
1017,1.0743055555555556
1018,1.9
1019,4.972222222222222
1020,5.659722222222222
1021,5.430555555555555
1022,4.5625
1023,3.5555555555555554
1024,1.6333333333333333
1025,0.24784722222222222
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.15493055555555554
1040,0.7625
1041,0.9986111111111111
1042,1.9215277777777777
1043,3.6180555555555554
1044,5.027777777777778
1045,2.638888888888889
1046,3.5
1047,2.140972222222222
1048,0.71875
1049,0.13541666666666666
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.45263888888888887
1064,2.16875
1065,4.173611111111111
1066,5.548611111111111
1067,6.479166666666667
1068,6.652777777777778
1069,6.319444444444445
1070,5.409722222222222
1071,3.826388888888889
1072,1.9180555555555556
1073,0.30159722222222224
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.5971527777777778
1088,1.9944444444444445
1089,3.888888888888889
1090,5.284722222222222
1091,5.916666666666667
1092,6.375
1093,6.118055555555555
1094,5.069444444444445
1095,3.5833333333333335
1096,1.9020833333333333
1097,0.45652777777777775
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.20402777777777778
1112,1.4444444444444444
1113,3.3583333333333334
1114,4.166666666666667
1115,5.277777777777778
1116,4.965277777777778
1117,4.104166666666667
1118,4.125
1119,1.5229166666666667
1120,0.6055555555555555
1121,0.1123611111111111
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.15055555555555555
1136,0.6652777777777777
1137,1.4381944444444446
1138,2.8541666666666665
1139,3.3958333333333335
1140,4.131944444444445
1141,4.75
1142,3.4444444444444446
1143,2.2381944444444444
1144,1.0291666666666666
1145,0.14234027777777777
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.8063888888888889
1160,2.3569444444444443
1161,4.291666666666667
1162,5.479166666666667
1163,6.868055555555555
1164,6.958333333333333
1165,6.736111111111111
1166,5.784722222222222
1167,4.208333333333333
1168,2.270138888888889
1169,0.45180555555555557
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.09057638888888889
1184,0.4618055555555556
1185,1.3798611111111112
